"Job.Title","Job.Category"
"engineering manger","Engineering Management"
"Mobile Engineer","Mobile Development"
"Fullstack Engineer","Full Stack Development"
"Software Engineer","Software Engineering"
"Freelance software engineer","Software Engineering"
"Machine Learning Engineer","Machine Learning"
"Software engineer","Software Engineering"
"Software Engineer (Frontend)","Frontend Development"
"SWE","Software Engineering"
"Software Developer","Software Engineering"
"Cloud Software Architect/Engineer","Cloud Engineering"
"Machine Learning Engineer (3.5YOE)","Machine Learning"
"Data Engineer","Data Engineering"
"Senior Software Engineer","Software Engineering"
"Senior","Undefined Senior Role"
"IT Analyst","IT Analysis"
"Senior Data Engineer","Data Engineering"
"Embedded Engineer","Embedded Systems"
"Security consultant","Security"
"BI Engineer","Business Intelligence"
"Automation Engineer","Automation"
"Machine Vision Engineer","Machine Vision"
"Senior data analyst","Data Analysis"
"Senior Front-end Engineer","Frontend Development"
"Backend developer","Backend Development"
"Senior Research Scientist","Research and Development"
"Back End Software Engineer","Backend Development"
"Deep Learning Engineer","Machine Learning"
"Frontend Developer","Frontend Development"
"Senior consultant","Consulting"
"Customer Engineer","Customer Support Engineering"
"Rust Software Developer","Software Engineering"
"DevOps","DevOps"
"Product Manager","Product Management"
"Principal Engineer/Team Lead","Engineering Management"
"software engineer","Software Engineering"
"SRE","Site Reliability Engineering"
"Senior QA Engineer","Quality Assurance"
"Sofờtare dev","Software Engineering"
"Analytics Engineer","Data Analytics"
"Front-end dev","Frontend Development"
"Software Engineer Grad","Software Engineering"
"Lead software engineer","Software Engineering"
"Associate Application Developer","Software Development"
"Senior software engineer","Software Engineering"
"Backend Developer","Backend Development"
"System Developer","System Development"
"Senior Architect","Architecture"
"Technical Student (Software Engineer)","Software Engineering"
"Cloud DevOps","Cloud Engineering"
"Data Scientist","Data Science"
"Software/R&D Engineer","Research and Development"
"Software developer","Software Engineering"
"IT Consultant / Software Engineer","IT Consulting"
"Software Development Engineer","Software Engineering"
"Senior Network Engineer","Network Engineering"
"Data Consultant","Data Consulting"
"Fullstack Developer","Full Stack Development"
"Team Lead / SWE","Engineering Management"
"Data scientist","Data Science"
"Senior SDET","Software Development Engineer in Test"
"Automotive Software Architect","Automotive Software Engineering"
"Embedded Software Engineer","Embedded Systems"
"Software Engineer I","Software Engineering"
"Senior Data Scientist","Data Science"
"SDE II","Software Engineering"
"Engineering Manager","Engineering Management"
"Site Reliability Engineer","Site Reliability Engineering"
"Associate Software Engineer","Software Engineering"
"Production Planning Engineer","Production Engineering"
"Backend software engineer","Backend Development"
"Cloud Developer","Cloud Engineering"
"Senior Software Developer","Software Engineering"
"FE developer","Frontend Development"
"","Unknown"
"Associate Developer","Software Engineering"
"Tech lead","Engineering Management"
"Cybersecurity Architect","Cybersecurity"
"Senior Site Reliability Engineer","Site Reliability Engineering"
"React Native Developer","Mobile Development"
"Lead Engineer","Engineering Management"
"Java Software engineers","Software Engineering"
"Data Analyst","Data Analysis"
"Data Analytics Manager","Data Analytics"
"SDE 2","Software Engineering"
"Principal Software Engineer","Software Engineering"
"Senior Software Engineer (Consultant)","Software Engineering"
"ML Engineer","Machine Learning"
"Software devekioer","Software Engineering"
"data engineer","Data Engineering"
"DevOps Engineer","DevOps"
"Senior Frontend Engineer","Frontend Development"
"Cloud Solution Architect Intern","Cloud Engineering"
"Software/Systems Engineer (L4)","Systems Engineering"
"Senior Machine Learning Engineer","Machine Learning"
"Software Developer, Machine Learning","Machine Learning"
"Software Engineer Backend","Backend Development"
"Lead Data Scientist","Data Science"
"Software engineer II","Software Engineering"
"Full Stack Developer","Full Stack Development"
"Engineering Team Lead","Engineering Management"
"Rust developer","Software Engineering"
"Frontend engineer","Frontend Development"
"Staff Software Engineer","Software Engineering"
"Programme Officer (IT)","IT Management"
"Web Developer","Web Development"
"Senior ERP Architect","ERP Architecture"
"Staff Security Engineer","Security"
"Product Owner","Product Management"
"Lead Software Developer","Software Engineering"
"QA Automation Engineer","Quality Assurance"
"Full Stack developer","Full Stack Development"
"Data & MLOps Engineer","Data Engineering"
"Junior Fullstack Developer","Full Stack Development"
"Python backend devloper","Backend Development"
"R&D Engineer in ADAS","Research and Development"
"Production Engineer","Production Engineering"
"PHP dev & scrum master","Web Development"
"Senior SWE (IC4)","Software Engineering"
"Devops Engineer","DevOps"
"SE 2","Software Engineering"
"frontend developer","Frontend Development"
"Web developer","Web Development"
"Software Engineer (Mobile Apps)","Mobile Development"
"Senior Software developer","Software Engineering"
"Full-stack developer","Full Stack Development"
"Project Manager","Project Management"
"Network Engineer","Network Engineering"
"3D Software Developer","Software Engineering"
"IT Consultant","IT Consulting"
"Solution Architect","Architecture"
"Sr software dev","Software Engineering"
"Senior engineer","Engineering"
"Associate Software Developer","Software Engineering"
"Advanced Data Engineer","Data Engineering"
"Tech Consultant","Consulting"
"Cloud engineer","Cloud Engineering"
"software engineeer","Software Engineering"
"Technical Account Manager","Technical Account Management"
"Big Data Engineer","Data Engineering"
"ML Engineer / Consultant","Machine Learning"
"Sftware Engineer","Software Engineering"
"developpeur Graphtalk","Software Engineering"
"machine learning engineer","Machine Learning"
"Robotics Perception Engineer","Robotics"
"Senior Develop","Software Engineering"
"Frontend developer","Frontend Development"
".NET Engineer","Software Engineering"
"Python developer","Backend Development"
"C++ Software Engineer","Software Engineering"
"Medior software engineer","Software Engineering"
"React native developer","Mobile Development"
"Lead Software Engineer","Software Engineering"
"Frontend software engineer","Frontend Development"
"VP Software Engineer","Software Engineering"
"ML Solution Developer","Machine Learning"
"Test Automation Engineer","Quality Assurance"
"Test Architect","Quality Assurance"
"iOS Engineer","Mobile Development"
"Deep Learning Scientist","Machine Learning"
"Devops engineer","DevOps"
"Junior Front End Engineer","Frontend Development"
"Lead SDET","Software Development Engineer in Test"
"Software automation test engineer","Quality Assurance"
"Frontend Engineer","Frontend Development"
"Java Software Engineer","Software Engineering"
"Research and Development Engineer","Research and Development"
"Data Science Consultant","Data Science"
"Senior Consultant","Consulting"
"Graduate","Entry Level"
"CTO","Executive"
"Fullstack developer","Full Stack Development"
"Mobile Application Engineer","Mobile Development"
"Senior Data Analyst","Data Analysis"
"Full-Stack Engineer","Full Stack Development"
"Senior fullstack software engineer","Full Stack Development"
"Junior fullstack web dev","Full Stack Development"
"Lead DevOps Engineer","DevOps"
"Microsoft Dynamics 365 Business Central Developer","Software Engineering"
"Machine learning engineer","Machine Learning"
"C++ developer","Software Engineering"
"Mechanical Engineer","Mechanical Engineering"
"Technical Analyst","IT Analysis"
"Fullstack engineer","Full Stack Development"
"Backend php developer","Backend Development"
"Senior SW","Software Engineering"
"Mid Java Dev","Software Engineering"
"Senior Backend Developer","Backend Development"
"Support engineer","Support Engineering"
"Experienced Developer","Software Engineering"
"Cloud Data Engineer","Data Engineering"
"Product Analyst","Product Management"
"Front-end Developer","Frontend Development"
"Junior Systems Engineer","Systems Engineering"
"ServiceNow developer","Software Engineering"
"Freelqnce Senior software engineer","Software Engineering"
"Software Engineering","Software Engineering"
"Cloud consultant","Cloud Consulting"
"Cloud architect","Cloud Engineering"
"Head of Software","Executive"
"Software Developer Engineer in Test","Software Development Engineer in Test"
"Senior Backend Engineer","Backend Development"
"software developer professional","Software Engineering"
"Machine Learning Scientist","Machine Learning"
"Full-stack software engineer","Full Stack Development"
"Software Development Engineer 2","Software Engineering"
"Software Engineer II","Software Engineering"
"Android Engineer","Mobile Development"
"Embedded engineer","Embedded Systems"
"DevOps Consultant","DevOps"
"Senior Fullstack Engineer","Full Stack Development"
"Technology Strategy Consultant","Consulting"
"Aerospace software engineer","Aerospace Engineering"
"Java backend web developer","Backend Development"
"Senior Software Engineer/Architect","Software Engineering"
"Mobile Game Developer","Mobile Development"
"Lead Consultant","Consulting"
"Fullstack dev","Full Stack Development"
"Data Modeler","Data Engineering"
"Data analyst","Data Analysis"
"Data engineer","Data Engineering"
"Senior Engineering Manager","Engineering Management"
"System Engineer","Systems Engineering"
"Engineering Lead","Engineering Management"
"Research engineer","Research and Development"
"SWE 2","Software Engineering"
"software developer","Software Engineering"
"Senior Systems Development Engineer","Systems Engineering"
"QA Engineer","Quality Assurance"
".NET ANGULAR FULL STACK","Full Stack Development"
"Senior Applied Scientist","Research and Development"
".NET Developer","Software Engineering"
"individual contributor","Undefined Role"
"Back End Developer","Backend Development"
"SAP Developer","Software Engineering"
"Computer Vision Engineer","Machine Learning"
"Backend Engineer","Backend Development"
"Global Head of Digital Transformation","Executive"
"Front End","Frontend Development"
